"name","url","city","state","type","size_category","acceptance_rate","sat_50th_percentile","act_50th_percentile","tuition_in_state","tuition_out_state","room_board","graduation_rate","retention_rate","enrollment","student_faculty_ratio","region","popular_majors","median_earnings_10_years","campus_setting","test_optional","application_deadline_fall","application_fee","average_financial_aid","percent_receiving_aid","transfer_acceptance_rate","latitude","longitude","housing_available","ipeds_id","rating"
Abilene Christian University,http://www.acu.edu/,Abilene,TX,Private,Medium,0.5,1200,25,35000,35000,12000,0.6,0.75,5000,15,Southwest,"Business, Education, Psychology",45000,Suburban,True,2024-01-15,50,20000,0.7,0.5,32.4487,-99.7331,True,,57
Academy of Art College,http://www.academyart.edu/,San Francisco,CA,Private For-Profit,Medium,0.6,1100,25,25000,25000,15000,0.6,0.7,5000,15,West,"Graphic Design, Fashion Design, Animation",45000,Urban,True,Rolling,50,15000,0.7,0.6,37.7749,-122.4194,True,,53
Adams State College,http://www.adams.edu/,Alamosa,CO,Public,Small,0.7,1050,21,8000,20000,12000,0.5,0.7,3000,15,West,"Business, Education, Health Sciences",40000,Rural,True,2024-07-01,50,8000,0.6,0.7,37.4684,-105.8701,True,,44
Adelphi University,http://www.adelphi.edu/,Garden City,NY,Private,Medium,0.65,1200,25,40000,40000,15000,0.7,0.8,8000,12,Northeast,"Business Administration, Psychology, Nursing",60000,Suburban,True,2024-01-15,50,20000,0.75,0.65,40.73061,-73.64814,True,NY001192,56
Adler School of Professional Psychology,http://www.adler.edu/,Chicago,IL,Private,Small,0.5,1200,25,30000,30000,12000,0.7,0.8,1000,12,Midwest,"Clinical Psychology, Counseling Psychology, Organizational Psychology",50000,Urban,True,2024-01-15,50,20000,0.75,0.5,41.8781,-87.6298,True,,57
Adrian College,http://www.adrian.edu/,Adrian,MI,Private,Small,0.5,1100,24,35000,35000,13000,0.65,0.75,1500,12,Midwest,"Business Administration, Psychology, Education",45000,Rural,True,2024-01-15,50,20000,0.7,0.5,41.8974,-84.0501,True,,55
Agnes Scott College,http://www.scottlan.edu/,Decatur,GA,Private,Small,0.4,1300,28,20000,20000,13000,0.8,0.85,1000,11,Southeast,"Psychology, Biology, Political Science",50000,Suburban,True,2024-01-15,50,20000,0.75,0.4,33.7741,-84.2963,True,,64
Air Force Institute of Technology,http://www.afit.af.mil/,Dayton,OH,Public,Small,0.3,1300,28,10000,20000,12000,0.85,0.9,1500,15,Midwest,"Engineering, Computer Science, Management",80000,Urban,False,2024-01-15,50,8000,0.6,0.3,39.7809,-84.2196,True,,70
Alabama Agricultural and Mechanical University,http://www.aamu.edu/,Normal,AL,Public,Medium,0.6,1050,21,10000,20000,12000,0.5,0.7,6000,18,Southeast,"Agriculture, Engineering, Business",40000,Rural,True,2024-01-15,50,8000,0.6,0.6,34.7369,-86.5861,True,,48
Alabama State University,http://www.alasu.edu/,Montgomery,AL,Public,Medium,0.6,1000,20,9500,19000,12000,0.5,0.7,5000,16,Southeast,"Business Administration, Nursing, Criminal Justice",40000,Urban,True,2024-01-15,50,8000,0.6,0.6,32.3668,-86.3,True,100115,47
Alaska Bible College,http://www.akbible.edu/,Anchorage,AK,Private,Small,0.7,1100,25,20000,20000,12000,0.6,0.7,300,12,West,"Theology, Counseling, Education",40000,Urban,True,Rolling,50,15000,0.8,0.7,61.2176,-149.8631,True,,47
Alaska Pacific University,http://www.alaskapacific.edu/,Anchorage,AK,Private,Small,0.5,1150,24,20000,20000,12000,0.6,0.75,500,12,West,"Business Administration, Environmental Science, Psychology",40000,Urban,True,2024-01-15,50,15000,0.7,0.5,61.2181,-149.8631,True,,53
Albany College of Pharmacy,http://www.acp.edu/,Albany,NY,Private,Small,0.4,1300,28,40000,40000,15000,0.85,0.8,1000,12,Northeast,"Pharmacy, Pharmaceutical Sciences, Health Sciences",60000,Urban,True,2024-01-01,50,20000,0.7,0.4,42.6526,-73.7562,True,,65
Albany Law School,http://www.albanylaw.edu/,Albany,NY,Private,Small,0.4,1400,32,60000,60000,15000,0.85,0.9,800,12,Northeast,"Law, Legal Studies, Political Science",80000,Urban,True,2024-04-01,50,20000,0.75,0.4,42.6526,-73.7562,True,,70
Albany Medical Center,http://www.amc.edu/,Albany,NY,Private,Small,0.3,1300,28,50000,50000,15000,0.85,0.9,3000,10,Northeast,"Nursing, Medicine, Health Sciences",70000,Urban,True,2024-01-15,75,20000,0.7,0.3,42.6526,-73.7562,True,,72
Albany State University,http://www.asurams.edu/,Albany,GA,Public,Medium,0.6,1100,25,7000,15000,12000,0.5,0.7,6000,18,Southeast,"Business Administration, Nursing, Criminal Justice",40000,Urban,True,2024-01-15,50,8000,0.6,0.6,31.5785,-84.1557,True,,51
Albertus Magnus College,http://www.albertus.edu/,New Haven,CT,Private,Small,0.5,1150,24,32000,32000,12000,0.65,0.75,1000,12,Northeast,"Business Administration, Psychology, Biology",45000,Urban,True,2024-01-15,50,20000,0.8,0.5,41.321,-72.925,True,,54
Albion College,http://www.albion.edu/,Albion,MI,Private,Small,0.5,1200,25,50000,50000,13000,0.7,0.8,1500,12,Midwest,"Business, Psychology, Biology",45000,Rural,True,2024-01-15,50,20000,0.7,0.5,42.2411,-84.7434,True,,57
Albright College,http://www.albright.edu/,Reading,PA,Private,Small,0.5,1120,24,32000,32000,13000,0.65,0.75,2000,12,Northeast,"Business Administration, Psychology, Biology",45000,Suburban,True,2024-01-15,50,20000,0.8,0.5,40.3356,-75.9269,True,,55
Alcorn State University,http://www.alcorn.edu/,Lorman,MS,Public,Medium,0.6,1000,20,8000,16000,12000,0.5,0.7,3500,18,Southeast,"Business Administration, Nursing, Agriculture",40000,Rural,True,2024-01-15,50,7000,0.6,0.6,31.5724,-90.8531,True,202103,46
